c,f
247774,1.0019279
247775,1.0011387
247776,1.0032438
247777,0.9978665
247778,1.0006235
247779,1.0028586
247780,0.99870354
247781,1.0001265
247782,0.99973357
247783,1.005615
247784,1.0117841
247785,1.025656
247786,1.0244598
247787,1.0228969
247788,1.0153803
247789,1.015502
247790,1.0103971
247791,1.0088308
247792,1.005124
247793,1.0049498
247794,1.0029838
247795,1.0038006
247796,1.0058649
247797,1.0000709
247798,1.0052758
247799,1.0067611
247800,1.0066384
247801,1.0054499
247802,1.0022609
247803,1.0042944
247804,1.0049466
247805,1.0038922
247806,1.0075437
247807,1.0078238
247808,1.0094805
247809,1.0080974
247810,1.0053841
247811,1.004412
247812,1.0026969
247813,1.0068568
247814,1.0079844
247815,1.0049262
247816,1.0032645
247817,1.0030571
247818,1.0021902
247819,1.002679
247820,1.0031459
247821,1.006157
247822,1.0018954
