c,f
291592,1.0097497
291593,1.0053313
291594,1.0013655
291595,1.0088973
291596,0.9957577
291597,1.0039091
291598,1.0007737
291599,1.0127754
291600,1.0086229
291601,1.0130372
291602,1.0192034
291603,1.0175464
291604,1.0172701
291605,1.0257134
291606,1.0344139
291607,1.028743
291608,1.0349164
291609,1.0342385
291610,1.0417174
291611,1.0388012
291612,1.0467709
291613,1.0580028
291614,1.0566666
291615,1.058968
291616,1.0518987
291617,1.0516406
291618,1.0461755
291619,1.0555637
291620,1.0408231
291621,1.0556495
291622,1.0447994
291623,1.0479537
291624,1.0454857
291625,1.042043
291626,1.0372152
291627,1.0351746
291628,1.0219358
291629,1.0323093
291630,1.021194
291631,1.0216088
291632,1.0156173
291633,1.021354
291634,1.0208788
291635,1.0160905
291636,1.0179254
291637,1.015444
291638,1.009573
291639,1.0124978
291640,1.012888
291641,1.0032821
291642,1.0100191
291643,1.0110888
291644,1.0077658
291645,1.0101683
291646,1.0069209
291647,1.0077233
291648,1.006604
291649,0.9997143
291650,1.0086473
291651,1.0086931
291652,1.0080577
291653,1.0071111
291654,1.0067259
291655,1.0028479
291656,1.0048181
291657,1.0044422
291658,0.99999464
291659,1.0106416
291660,1.0013846
291661,1.0024145
291662,1.0065325
291663,1.0008303
291664,1.0038532
291665,0.9981779
291666,1.0043979
291667,0.9998146
291668,1.0031935
